Episode,Total Reward
0,-123809.04499999492
1,-47695.825000002165
2,-67861.93999999836
3,-59142.300000001786
4,-76409.40499999638
5,-139974.77999999572
6,-179404.15500001717
7,-55412.56999999944
8,-218497.93000007156
9,-73183.18999999968
10,-57940.55000000322
11,-219301.50999996212
12,-53899.06999999689
13,-51735.619999995375
14,-65943.64500000095
15,-128849.8649999913
16,-189514.54000002774
17,-118122.0399999939
18,-58697.554999994536
19,-167388.2550000348
20,-154694.9500000078
21,-80309.28499999829
22,-64330.65499999342
23,-47702.69499999975
24,-77945.3799999956
25,-62074.404999998565
26,-246931.19000002072
27,-52313.4600000004
28,-176508.4250000483
29,-112850.16500000659
30,-88309.21499998886
31,-177368.1050000191
32,-22978.075000000787
33,-91453.75999999512
34,-213802.6149999996
35,-33297.7300000005
36,-26183.069999999887
37,-41151.27999999891
38,-30634.470000000303
39,-69405.16499999765
40,-121863.30000001198
41,-100923.81999999547
42,-56720.22999999815
43,-59880.609999997025
44,-27779.74499999951
45,-69749.20499999603
46,-168520.71000001067
47,-84987.89999999547
48,-43047.784999998694
49,-79289.86499999878
50,-93207.2600000021
51,-57821.97499999749
52,-101930.62499998904
53,-39208.964999998425
54,-27877.61000000125
55,-88746.68499999403
56,-53952.91500000095
57,-92420.40000000037
58,-116904.78999999106
59,-174308.9849999835
60,-164866.4450000054
61,-88066.30500000172
62,-165071.38500004355
63,-231167.7000001015
64,-133333.5500000152
65,-159233.1950000243
66,-67731.85499999828
67,-98556.50999999655
68,-170161.3699999983
69,-84952.15499999712
70,-94640.99999999141
71,-171707.71500005014
72,-179727.74000004042
73,-148547.7950000075
74,-18217.8499999995
75,-47733.764999998726
76,-22935.73000000068
77,-68344.85999999728
78,-106214.24499999284
79,-16040.029999999755
80,-33323.34000000168
81,-77765.2999999986
82,-101646.64499998609
83,-84504.9449999905
84,-84878.4050000041
85,-83854.77999999849
86,-99629.71999999293
87,-72572.7499999914
88,-119366.33499999825
89,-111140.38499998601
90,-70188.3749999924
91,-38965.609999998
92,-204381.14999997985
93,-83551.44499999595
94,-62385.600000000355
95,-147819.5700000042
96,-123945.01999998318
97,-87249.86500000049
98,-74167.61499999852
99,-155245.46499998745
