Episode,Total Reward
0,-9683.764999999845
1,-17086.660000001706
2,4077.7949999997168
3,-6267.525000000135
4,-9520.240000000618
5,-6537.269999999979
6,-13972.285000002143
7,-22689.80000000047
8,-3487.979999999957
9,-8250.03500000027
10,-19636.795000000286
11,-9931.625000000136
12,-16790.49000000087
13,-2250.3700000002227
14,-27330.86499999973
15,-15675.149999999427
16,-12379.194999999727
17,-5826.169999999674
18,-24852.110000002463
19,-10216.220000000034
20,22365.12999999919
21,-10651.345000001196
22,-46046.95999999458
23,-32421.185000002988
24,-44.67500000017844
25,-12789.170000001988
26,-28655.915000012606
27,4520.010000000153
28,-10529.12999999988
29,-3229.000000000403
30,-15665.63000000102
31,-35093.49999999677
32,-7626.990000000593
33,-17163.664999999626
34,-46949.75500000667
35,-9942.325000005972
36,9512.824999998682
37,6360.08500000009
38,4930.5200000002205
39,-16554.50999999996
40,-12640.454999999169
41,-762.4000000000442
42,-5751.034999999725
43,-15637.56999999941
44,-11203.670000001057
45,-4577.279999999768
46,-3658.25
47,-11920.750000001473
48,-9020.014999999734
49,-6938.249999999849
50,-6166.619999999837
51,-7859.299999999894
52,-8571.545000000315
53,-9151.32999999984
54,-9940.240000000946
55,-6188.384999999774
56,3519.015000000093
57,-345.23499999985825
58,-4032.335000000123
59,-8827.040000000008
60,-2018.5749999998811
61,2071.1249999999864
62,-2392.0200000000514
63,-4691.50999999962
64,-2407.2549999997686
65,-1211.255000000006
66,-4077.714999999861
67,-2575.2900000000004
68,-15994.425000003928
69,-8021.57499999951
70,-11459.140000000672
71,-21355.870000002134
72,-20435.17500000007
73,-13467.289999999623
74,-9222.879999999044
75,-29417.91500000022
76,-9700.7150000003
77,-56472.145000009456
78,-23604.725000000213
79,-29430.640000001047
80,-108213.84499995604
81,-10032.815000000734
82,-17362.40500000221
83,-8604.410000000245
84,-2283.6399999999458
85,10742.679999995338
86,-3319.2549999999846
87,-6558.715000000414
88,-2857.37999999997
89,7027.274999997391
90,-2498.860000000025
91,-10784.76999999953
92,-7428.154999998789
93,6838.75500000002
94,-4627.349999999911
95,-15559.80499999864
96,-8228.535000000138
97,-11132.280000000597
98,-29116.47499999802
99,-23393.260000003465
