Episode,Total Reward
0,-33071.84499999892
1,-61509.71499999591
2,-86438.939999994
3,-61244.059999993966
4,-98087.97999998732
5,-23429.610000000903
6,-76152.84500000869
7,-51984.77999999904
8,-87621.59999999424
9,-93120.07000000965
10,-43220.404999999475
11,-75650.24500000919
12,-32649.514999999174
13,-81112.05999999621
14,-41332.87500000246
15,-51859.16999999978
16,-66561.11499999181
17,-51667.734999997905
18,-51862.609999998764
19,-48195.59999999565
20,-84328.22999999455
21,-31900.66500000042
22,-27673.429999999156
23,-99897.53999998972
24,-46451.10000000174
25,-47752.194999999134
26,-97335.8299999896
27,-83170.374999995
28,-47502.3950000008
29,-125045.26499998938
30,-120535.17999999727
31,-53136.60000000009
32,-86226.27999999844
33,-121760.53000000872
34,-42445.36999999673
35,-88273.69499999838
36,-57510.50500000245
37,-109230.90500000824
38,-33369.08499999928
39,-132351.91499999075
40,-108359.41499999036
41,-130638.60500000116
42,-35053.70999999936
43,-74033.19999999933
44,-31275.41000000011
45,-80924.42999999663
46,-126135.69000000066
47,-143757.95500001055
48,-74154.87999999593
49,-129999.70499999418
50,-167388.89500002953
51,-76683.6099999917
52,-116222.61999999676
53,-48130.23999999948
54,-62502.25499999901
55,-97737.7299999935
56,-143025.43999998455
57,-145378.88499999588
58,-51746.35499999755
59,-54409.51999999834
60,-157209.31500000178
61,-47735.934999999234
62,-56903.52000000186
63,-71283.82999999948
64,-62324.43500000253
65,-98881.49999998348
66,-152513.83500000622
67,-71931.72999999853
68,-123442.87999998716
69,-229596.84999995597
70,-178499.89999999927
71,-92618.31499999017
72,-174083.57000005746
73,-145084.6250000033
74,-168089.82000000315
75,-148556.59999999503
76,-267157.29000006843
77,-210144.4250000461
78,-277163.6800001247
79,-283628.28500010906
80,-67781.03499999773
81,-209673.34500001775
82,-229505.83000006652
83,-67864.07999999839
84,-176431.43000000672
85,-93095.67999999184
86,-177352.82500003942
87,-240269.13000009285
88,-188147.3200000313
89,-104561.96000002004
90,-106187.43999998493
91,-53433.34499999592
92,-117364.49999999448
93,-92172.49999999076
94,-176059.02000005892
95,-122522.42999999519
96,-93124.76999999295
97,-120009.9700000001
98,-163806.86500001614
99,-169395.38500002827
