Episode,Total Reward
0,-148186.21500000235
1,-155188.6500000078
2,-193354.5100000185
3,-22126.719999999812
4,-256366.5550000947
5,-39747.929999997934
6,-78822.55999999549
7,-90595.49499998514
8,-189893.8850000559
9,-81474.85499999304
10,-35939.100000000115
11,-57353.57999999752
12,-38026.14999999804
13,-99918.17499998785
14,-105035.67500001329
15,-46828.13499999693
16,-120737.1149999946
17,-118385.64499999036
18,-48600.67499999566
19,-40905.60999999663
20,-50146.40999999785
21,-53280.925000002804
22,-186662.99500001958
23,-78754.97999999969
24,-91749.7800000021
25,-117761.31499998068
26,-76750.79499999092
27,-58517.65500000246
28,-116080.23000000334
29,-66466.12500000258
30,-105955.1849999985
31,-98556.21999998708
32,-36766.02499999981
33,-19562.010000000486
34,-54443.69499999817
35,-39613.65999999817
36,-39443.78999999733
37,-116552.55999998952
38,-24356.70999999964
39,-75125.47499999845
40,-61145.51999999445
41,-70150.03499999335
42,-65007.10000000222
43,-99880.78499999116
44,-30849.70999999854
45,-76405.01500000038
46,-50479.174999998766
47,-142367.69499998595
48,-50530.55499999902
49,-115174.40999999338
50,-67335.05000000166
51,-70027.95499999901
52,-21462.240000000675
53,-58739.3250000036
54,-43400.42499999833
55,-70118.69000000131
56,-99206.11499999299
57,-71613.82999999356
58,-99279.894999994
59,-84222.04999999613
60,-62813.639999999585
61,-52311.46000000168
62,-84498.02499999717
63,-67436.19999999877
64,-73365.9599999996
65,-65100.22499999711
66,-62663.379999995166
67,-97955.92999999292
68,-66325.17499999587
69,-129838.17999999628
70,-164800.73000002909
71,-125200.27999998233
72,-98119.98999999701
73,-56093.58499999585
74,-65367.549999996365
75,-36444.660000000185
76,-85010.65999999874
77,-63131.705000004324
78,-63075.24499999908
79,-159924.8200000147
80,-103388.6850000201
81,-159699.47999999262
82,-78999.28999999694
83,-98519.88499999043
84,-197883.23000004812
85,-47677.63000000053
86,-133594.9499999981
87,-309740.9950001573
88,-310320.6650000422
89,-118583.05499999128
90,-145918.35499999335
91,-138319.53499999756
92,-309064.5550001655
93,-83278.7549999972
94,-97664.68499999665
95,-209175.13500002658
96,-74195.01500000071
97,-194116.6850000375
98,-169793.11000001492
99,-139677.00000000335
