Episode,Total Reward
0,-42807.86499999893
1,-63933.319999997424
2,-145938.7650000307
3,-119162.57499999931
4,-110211.47000001911
5,-73364.16999999915
6,-86333.1999999928
7,-154431.78500002113
8,-105892.13999999622
9,-106520.33499999714
10,-113987.42499999068
11,-89555.94499999484
12,-125188.82499999883
13,-150164.90000001222
14,-153574.67499997502
15,-78523.08999999914
16,-167650.36500002156
17,-158909.11500001728
18,-90785.02499999058
19,-112895.32999999312
20,-94871.03499999043
21,-208315.45000005394
22,-131628.64000002728
23,-79724.24000000015
24,-96737.2999999993
25,-141209.85499999046
26,-107866.67499999741
27,-202012.2450000329
28,-31112.9850000014
29,-106165.25499999664
30,-234011.21000001513
31,-137170.87499999188
32,-50572.59999999895
33,-75235.63500000488
34,-160326.45500000095
35,-157958.1200000182
36,-267056.53000001103
37,-316500.1900000715
38,-297180.1550000175
39,-207590.58500000762
40,-186188.20500003858
41,-72675.57499999779
42,-85060.41999999844
43,-47314.259999998874
44,-241213.98000001354
45,-59176.195000004525
46,-89599.20999999667
47,-116991.36999998546
48,-75056.40499999255
49,-101497.33000001354
50,-103032.15499999681
51,-75869.69499999756
52,-96650.1149999867
53,-51646.2549999968
54,-154753.71000000165
55,-95556.81499999478
56,-33728.709999999155
57,-88268.66500000648
58,-200180.44500000935
59,-211294.28000000364
60,-127643.13000000882
61,-266932.55000001827
62,-328116.02499992866
63,-164704.7800000038
64,-180527.34499997887
65,-453829.94000004395
66,-203872.11499999772
67,-209810.87000001382
68,-395679.325000026
69,-185240.76500001235
70,-383859.0800000828
71,-175063.30500003305
72,-349803.21999999345
73,-549631.4800001163
74,-242859.7899999982
75,-173624.79000001834
76,-159350.8100000228
77,-260702.11000004545
78,-128286.39999999298
79,-171791.1549999957
80,-36960.30000000149
81,-200196.26500000697
82,-221963.82500003962
83,-251780.80500001635
84,-175456.56000001007
85,-194878.51499999705
86,-91922.16999999848
87,-142400.0050000022
88,-221580.4750000563
89,-250917.02500000718
90,-244248.30000009973
91,-350632.6750000228
92,-220199.7250000342
93,-269365.3700000743
94,-245059.8400000201
95,-223318.60000002602
96,-301043.32000002015
97,-181210.23000001334
98,-255968.1749999897
99,-94143.0099999892
