Episode,Total Reward
0,-61327.30499999863
1,-78171.7050000041
2,-313321.2649999953
3,-289353.7250000909
4,-205437.43500005922
5,-278739.2200000524
6,-244395.96000008713
7,-270863.73000000615
8,-114038.96499998729
9,-119702.43499999057
10,-153832.01500000517
11,-287729.0450001148
12,-179534.4799999878
13,-142654.9900000046
14,-194737.9
15,-195495.99500005713
16,-225257.2500000607
17,-312814.18000012403
18,-224477.59499994924
19,-124521.04499999597
20,-160258.07499999576
21,-157827.35999998497
22,-144083.35999999175
23,-277183.7750000657
24,-195687.27500003696
25,-205537.849999942
26,-153968.8449999864
27,-247473.95500007612
28,-544385.7550004391
29,-463297.94500006625
30,-1050632.9899995308
31,-59307.54000000076
32,-170388.1749999978
33,-239273.04500010257
34,-643421.624999769
35,-53427.32500000286
36,-91643.09000000657
37,-62195.96999999765
38,-212350.4900000868
39,-317338.50500008755
40,-123189.31499998918
41,-254205.22500007204
42,-173779.08499999397
43,-273613.2499999624
44,-199185.13500004672
45,-150968.02999999738
46,-254487.49999994042
47,-227262.03500004596
48,-143467.51499999713
49,-59060.169999997066
50,-92356.97999999407
51,-68282.43999999993
52,-54779.65999999847
53,-52636.474999996295
54,-43102.0000000007
55,-117530.04499998705
56,-61132.95999999698
57,-65815.94999999648
58,-152337.84000001816
59,-85513.3699999982
60,-125111.50499999791
61,-143044.71000000663
62,-258568.06000010547
63,-188031.27000001448
64,-243129.0449999888
65,-345496.750000174
66,-220681.2850000562
67,-397843.91500019457
68,-239236.86000000048
69,-236680.6100000693
70,-534457.6450002032
71,-171460.94500002288
72,-141315.0400000064
73,-118619.97000001128
74,-536311.0550002223
75,-204511.5100000566
76,-285515.6150000615
77,-173437.74000003687
78,-220329.97500004203
79,-146758.27500000896
80,-719289.4150003701
81,-627573.3999998975
82,-329756.46000008774
83,-213361.53500004628
84,-220661.54000005496
85,-102190.74999998992
86,-311775.32000002614
87,-130273.61499998053
88,-257105.07000011485
89,-225834.45500008142
90,-344260.2650000482
91,-143689.67000002085
92,-103052.74999998654
93,-166843.06999994614
94,-86410.26499999518
95,-152655.07999997868
96,-195740.26000002385
97,-357687.11500002566
98,-346030.5450000584
99,-221698.35000001427
